date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home
2023-09-12,Norway,Georgia,2,1,UEFA Euro qualification,Oslo,Norway,False,home_win,1
2023-09-12,Spain,Cyprus,6,0,UEFA Euro qualification,Granada,Spain,False,home_win,6
2023-09-12,Belgium,Estonia,5,0,UEFA Euro qualification,Brussels,Belgium,False,home_win,5
2023-09-12,Sweden,Austria,1,3,UEFA Euro qualification,Stockholm,Sweden,False,away_win,-2
2023-09-12,Switzerland,Andorra,3,0,UEFA Euro qualification,Sion,Switzerland,False,home_win,3
2023-10-12,Suriname,Haiti,1,1,CONCACAF Nations League,Paramaribo,Suriname,False,draw,0
2023-10-12,Colombia,Uruguay,2,2,FIFA World Cup qualification,Barranquilla,Colombia,False,draw,0
2023-10-12,Bolivia,Ecuador,1,2,FIFA World Cup qualification,La Paz,Bolivia,False,away_win,-1
2023-10-12,Argentina,Paraguay,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,home_win,1
2023-10-12,Brazil,Venezuela,1,1,FIFA World Cup qualification,Cuiabá,Brazil,False,draw,0
2023-10-12,Algeria,Cape Verde,5,1,Friendly,Constantine,Algeria,False,home_win,4
2023-10-12,Egypt,Zambia,1,0,Friendly,Al Ain,United Arab Emirates,True,home_win,1
2023-10-12,Sweden,Moldova,3,1,Friendly,Stockholm,Sweden,False,home_win,2
2023-10-12,Spain,Scotland,2,0,UEFA Euro qualification,Seville,Spain,False,home_win,2
2023-10-12,Cyprus,Norway,0,4,UEFA Euro qualification,Larnaca,Cyprus,False,away_win,-4
2023-10-12,Croatia,Turkey,0,1,UEFA Euro qualification,Osijek,Croatia,False,away_win,-1
2023-10-12,Albania,Czech Republic,3,0,UEFA Euro qualification,Tirana,Albania,False,home_win,3
2023-10-13,Curaçao,Panama,1,2,CONCACAF Nations League,Willemstad,Curaçao,False,away_win,-1
2023-10-13,DR Congo,New Zealand,1,1,Friendly,Murcia,Spain,True,draw,0
2023-10-13,England,Australia,1,0,Friendly,London,England,False,home_win,1
2023-10-13,Iraq,Qatar,0,0,Friendly,Amman,Jordan,True,draw,0
